mx-service-detector,An email service was detected. Check the email service or spam filter that is used for a domain.,"word
word
word
word
word
word
word
word
word
word",,,,,"
mail.protection.outlook.com
aspmx2.googlemail.com
aspmx3.googlemail.com
alt1.aspmx.l.google.com
alt2.aspmx.l.google.com
aspmx.l.google.com
mail.protonmail.ch
mailsec.protonmail.ch
mx.zoho.eu
mx2.zoho.eu
mx3.zoho.eu
in.mailcontrol.com
spamfilter02.ezorg.nl
spamfilter01.ezorg.nl
spamfilter.ezorg.nl
spamfilter03.ezorg.nl
mx1.eu1.kerio.cloud
mx2.eu1.kerio.cloud
mx1.us1.kerio.cloud
mx2.us1.kerio.cloud
mx3.us1.kerio.cloud
mx1-eu1.ppe-hosted.com
mx2-eu1.ppe-hosted.com
mx1-us1.ppe-hosted.com
mx2-us1.ppe-hosted.com
",,info,,CWE-200,,,,,,"dns,service"
nameserver-fingerprint,An NS record was detected. An NS record delegates a subdomain to a set of name servers.,regex,regex,,answer,,"
IN\tNS\\t(.+)$
IN\tNS\t(.+)
",,info,,CWE-200,,,,,,"dns,ns"
ptr-fingerprint,A PTR record was detected. A PTR record refers to the domain name.,regex,regex,,answer,,"
IN\tPTR\\t(.+)$
IN\tPTR\t(.+)
",,info,,CWE-200,,,,,,"dns,ptr"
servfail-refused-hosts,"A DNS ServFail error occurred. ServFail errors occur when there is an error communicating with a DNS server. This could have a number of causes, including an error on the DNS server itself, or a temporary networking issue.",word,,,,,"SERVFAIL
REFUSED",,info,,CWE-200,,,,,,"dns,takeover"
spoofable-spf-records-ptr,SPF records in DNS containing a PTR mechanism are spoofable.,word,,,,,"v=spf1
  ptr ",,info,https://www.digitalocean.com/community/tutorials/how-to-use-an-spf-record-to-prevent-spoofing-improve-e-mail-reliability,CWE-200,,,,,,"dns,spf"
txt-fingerprint,A DNS TXT record was detected. The TXT record lets a domain admin leave notes on a DNS server.,regex,regex,,answer,,"IN\tTXT\\t(.+)$
IN\tTXT\t(.+)",,info, https://www.netspi.com/blog/technical/network-penetration-testing/analyzing-dns-txt-records-to-fingerprint-service-providers/,CWE-200,,,,,,"dns,txt"
detect-worksites,A worksites.net service was detected.,word,,,,,69.164.223.206,,info,https://blog.melbadry9.xyz/dangling-dns/xyz-services/ddns-worksites,CWE-200,,,,,,
adb-backup-enabled,"ADB Backup is enabled, which allows the backup and restore of an app's private data.",word,,,,,android:allowBackup=\true\,,low,https://adb-backup.com/,CWE-200,,,,,,"android,file"
biometric-detect,Android Biometric/Fingerprint permission files were detected.,word,,,,,"android.permission.USE_FINGERPRINT
android.permission.USE_BIOMETRIC",,info,,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"android,file"
improper-certificate-validation,Android improper certificate validation was detected.,word,,,,,Landroid/webkit/SslErrorHandler;->proceed()V,,medium,,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,,,"android,file"
content-scheme,Android content scheme enabling was detected.,word,,,,,android:scheme=\content\,,info,,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"android,file"
android-debug-enabled,Android debug enabling was detected.,regex,,,,,android:debuggable=\true\,,low,,,,,,,,"android,file"
deep-link-detect,Android deep link functionality was detected.,word,,,,,"android:scheme
 android:host
 android:name",,info,"https://developer.android.com/training/app-links/deep-linking
https://www.geeksforgeeks.org/deep-linking-in-android-with-example/
https://medium.com/@muratcanbur/intro-to-deep-linking-on-android-1b9fe9e38abd",CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"android,file,deeplink"
dynamic-registered-broadcast-receiver,Android dynamic broadcast receiver register functionality was detected.,word,,,,,;->registerReceiver(Landroid/content/BroadcastReceiver;Landroid/content/IntentFilter;),,info,,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"android,file"
file-scheme,Android file scheme enabling was detected.,word,,,,,android:scheme=\file\,,info,,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"android,file"
google-storage-bucket,,regex,,,,,[a-z0-9.-]+\\.appspot\\.com,,info,,,,,,,,"file,android,google"
insecure-provider-path,Android insecure provider path was detected.,regex,,,,,"root-path name=\[0-9A-Za-z\\-_]{1,10}\ path=\.\
root-path name=\[0-9A-Za-z\\-_]{1,10}\ path=\\",,medium,,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,,,"android,file"
webview-addjavascript-interface,Android WebView Add Javascript interface usage was detected.,word,,,,,;->addJavascriptInterface(Ljava/lang/Object;Ljava/lang/String;)V,,info,,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,,,"android,file"
webview-javascript-enabled,WebView Javascript enabling was detected.,word,,,,,Landroid/webkit/WebSettings;->setJavaScriptEnabled(Z)V,,info,,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"android,file,javascript"
webview-load-url,WebView loadUrl usage was detected.,word,,,,,Landroid/webkit/WebView;->loadUrl(Ljava/lang/String;)V,,info,,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"android,file"
"webview-universal-access
",Android WebView Universal Access enabling was detected.,word,,,,,Landroid/webkit/WebSettings;->setAllowUniversalAccessFromFileURLs(Z)V,,medium,,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,,,"android,file"
configure-aaa-service,"|
    Cisco authentication, authorization and accounting service configuration was detected.","word
word",,,,,"aaa new-model
configure terminal",,info,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/security/a1/sec-a1-cr-book/sec-cr-a2.html#GUID-E05C2E00-C01E-4053-9D12-EC37C7E8EEC5,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"cisco,config-audit,cisco-switch,file,router"
configure-service-timestamps-debug,"|
    The configuration for service timestamps on Cisco devices was not implemented for debugging purposes. It's important to note that timestamps can be added to either debugging or logging messages independently.","word
word",,,,,"service timestamps debug datetime msec show-timezone localtime
configure terminal",,info,https://www.cisco.com/E-Learning/bulk/public/tac/cim/cib/using_cisco_ios_software/cmdrefs/service_timestamps.htm,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"cisco,config-audit,cisco-switch,file,router"
configure-service-log-messages,"|
    Cisco service timestamp configuration for log messages was not implemented.","word
word",,,,,"service timestamps log datetime msec show-timezone localtime
configure terminal",,info,https://www.cisco.com/E-Learning/bulk/public/tac/cim/cib/using_cisco_ios_software/cmdrefs/service_timestamps.htm,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"cisco,config-audit,cisco-switch,file,router"
disable-ip-source-route,"|
    Cisco IP source-route functionality has been utilized in several attacks. An attacker can potentially obtain sensitive information, modify data, and/or execute unauthorized operations.","word
word",,,,,"no ip source-route
configure terminal",,info,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/ipaddr/command/ipaddr-cr-book/ipaddr-i4.html#GUID-C7F971DD-358F-4B43-9F3E-244F5D4A3A93,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"cisco,config-audit,cisco-switch,file,router"
disable-pad-service,"|
    Cisco PAD service has proven vulnerable to attackers. To reduce the risk of unauthorized access, organizations should implement a security policy restricting or disabling unnecessary access.","word
word",,,,,"no service pad
configure terminal",,info,http://www.cisco.com/en/US/docs/ios-xml/ios/wan/command/wan-s1.html#GUID-C5497B77-3FD4-4D2F-AB08-1317D5F5473B,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"cisco,config-audit,cisco-switch,file,router"
enable-secret-for-user-and-password,"|
    To configure the system to time-stamp debugging or logging messages, use one of the service timestamps global configuration commands. Use the no form of this command to disable this service.","word
word",,,,,"enable secret
configure terminal",,info,https://www.cisco.com/E-Learning/bulk/public/tac/cim/cib/using_cisco_ios_software/cmdrefs/service_timestamps.htm,,,,,,,"cisco,config-audit,cisco-switch,file,router"
logging-enable,"|
    Cisco logging 'logging enable' enable command enforces the monitoring of technology risks for organizations' network devices.","word
word",,,,,"logging enable
configure terminal",,info,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/config-mgmt/configuration/xe-16-6/config-mgmt-xe-16-6-book/cm-config-logger.pdf,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"cisco,config-audit,cisco-switch,file"
set-and-secure-passwords,"|
    Cisco set and secure password functionality is recommended to control privilege level access. To set a local password to control access to various privilege levels, use the enable password command in global configuration mode. To remove the password requirement, use the no form of this command.","word
word",,,,,"service password-encryption
configure terminal",,info,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/security/d1/sec-d1-cr-book/sec-cr-e1.html#wp3884449514,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"cisco,config-audit,cisco-switch,file"
auto-usb-install,"Via Fortinet Auto USB installation, an attacker with physical access to a FortiGate can load a new configuration or firmware using the USB port, thereby potentially being able to obtain sensitive information, modify data, and/or execute unauthorized operations.","word
word",,,,,"set auto-install-config disable
set auto-install-image disable
config system
config router
config firewall",,info,https://docs.fortinet.com/document/fortigate/6.2.0/hardening-your-fortigate/582009/system-administrator-best-practices,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"audit,config,file,firewall,fortigate"
heuristic-scan,"|
    Fortinet heuristic scanning configuration is advised to thwart attacks. Heuristic scanning is a technique used to identify previously unknown viruses. A value of block enables heuristic AV scanning of binary files and blocks any detected. A replacement message is forwarded to the recipient, and blocked files are quarantined if quarantine is enabled.","word
word",,,,,"config antivirus heuristic
set mode block
config system
config router
config firewall",,info,https://docs.fortinet.com/document/fortigate/6.2.0/hardening-your-fortigate/582009/system-administrator-best-practices,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"audit,config,file,firewall,fortigate"
inactivity-timeout,"If Fortinet inactivity timeout functionality is disabled, an attacker can potentially obtain sensitive information, modify data, and/or execute unauthorized operations within that window if the administrator is away from the computer.","word
word",,,,,"set admin-console-timeout
config system
config router
config firewall",,info,https://docs.fortinet.com/document/fortigate/6.2.0/hardening-your-fortigate/582009/system-administrator-best-practices,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"audit,config,file,firewall,fortigate"
maintainer-account,"In Fortinet, if a FortiGate is compromised and the password is not recoverable, a maintainer account can be used by an administrator with physical access to log into CLI.","word
word",,,,,"set admin-maintainer
config system
config router
config firewall",,info,https://docs.fortinet.com/document/fortigate/6.4.0/hardening-your-fortigate/612504/hardening-your-fortigate,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"audit,config,file,firewall,fortigate"
password-policy,Fortinet administrative password policy is not set. Using this feature is recommended to ensure all administrators use secure passwords that meet organizations' requirements.,"word
word",,,,,"config system password-policy
config system
config router
config firewall",,info,https://docs.fortinet.com/document/fortigate/6.2.0/hardening-your-fortigate/582009/system-administrator-best-practices,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"fortigate,config,audit,file,firewall"
remote-auth-timeout,"Fortinet remote authentication timeout functionality is recommended to be enabled. Lack of a set timeout can allow an attacker to act within that threshold if the administrator is away from the computer, thereby making it possible to obtain sensitive information, modify data, and/or execute unauthorized operations.","word
word",,,,,"set remoteauthtimeout
config system
config router
config firewall",,info,https://docs.fortinet.com/document/fortigate/6.4.0/hardening-your-fortigate/612504/hardening-your-fortigate,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"audit,config,file,firewall,fortigate"
scp-admin,Fortinet Admin-SCP functionality is recommended to be disabled by default. Enabling SCP allows download of the configuration file from the FortiGate as an alternative method of backing up the configuration file.,"word
word",,,,,"set admin-scp enable
config system
config router
config firewall",,info,https://docs.fortinet.com/document/fortigate/6.4.0/hardening-your-fortigate/612504/hardening-your-fortigate,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"audit,config,file,firewall,fortigate"
strong-ciphers,Weak Ciphers can be broken by an attacker in a local network and can perform attacks like Blowfish.,"word
word",,,,,"set strong-crypto enable
config system
config router
config firewall",,info,https://docs.fortinet.com/document/fortigate/6.2.0/hardening-your-fortigate/582009/system-administrator-best-practices,,,,,,," audit,config,file,firewall,fortigate"
configure-dns-server,"|
    DNS is recommended to be configured over TLS. This prevents intermediate parties and potential attackers from viewing the content of DNS queries and can also assure that DNS is being provided by the expected DNS servers.","word
word",,,,,"<dnsserver>
<pfsense>
<system>",,info,https://docs.netgate.com/pfsense/en/latest/recipes/dns-over-tls.html,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"firewall,config,audit,pfsense,file"
configure-session-timeout,"|
    Configure sessions timeout is recommended to be enabled. An indefinite or even long session timeout window can increase the risk of an attacker abusing abandoned sessions and potentially being able to obtain sensitive information, modify data, and/or execute unauthorized operations.","word
word",,,,,"<session_timeout>
<session_timeout>0</session_timeout>
<pfsense>
<webgui>
<system>",,info,"|
    https://docs.netgate.com/pfsense/en/latest/config/advanced-admin.html",CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"firewall,config,audit,pfsense,file"
enable-https-protocol,"|
    PfSence Web Admin Management Portal is recommended to be accessible using only HTTPS protocol. HTTP transmits all data, including passwords, in clear text over the network and provides no assurance of the identity of the hosts involved, making it possible for an attacker to obtain sensitive information, modify data, and/or execute unauthorized operations.","word
word",,,,,"<webgui>
<protocol>https</protocol>
<pfsense>
<system>",,info,"|
    https://docs.netgate.com/pfsense/en/latest/config/advanced-admin.html",CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"firewall,config,audit,pfsense,file"
known-default-account,"|
    PfSence configured known default accounts are recommended to be deleted. In order to attempt access to known devices' platforms, an attacker can use the available database of the known default accounts for each platform or operating system. Known default accounts are often, but not limited to, 'admin'.",word,,,,,"<name>admin</name>
<descr><![CDATA[System Administrator]]></descr>
<priv>user-shell-access</priv>",,info,"|
    - https://docs.netgate.com/pfsense/en/latest/usermanager/defaults.html",CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"firewall,config,audit,pfsense,file"
password-protected-consolemenu,"|
    PfSence password protection via the Console Menu is recommended to be configured. An unattended computer with an open Console Menu session can allow an unauthorized user access to the firewall management.","word
word",,,,,"<disableconsolemenu>
<disableconsolemenu>1</disableconsolemenu>
<pfsense>
<webgui>
<system>",,info,"|
    https://docs.netgate.com/pfsense/en/latest/config/advanced-admin.html",CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"firewall,config,audit,pfsense,file"
set-hostname,"|
    PfSence Hostname should be set so that other devices on the network can correctly identify it. The hostname is a unique identifier for the device.",word,,,,,"<system>
<hostname></hostname>
domain>",,info,"|
    https://docs.netgate.com/pfsense/en/latest/config/general.html",CWE-200,, CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"firewall,config,audit,pfsense,file"
bash-scanner,Indicator for bash Dangerous Commands – You Should Never Execute on Linux,,"regex
regex
regex
regex
regex",,,,":(){:|:&};:
rm -(f|r)
rm -(fr|rf)
/bin/(sh|bash) -
eval
 echo -c
/bin/(sh|bash) -c
(sh|bash) -
(sh|bash) -c
cat /dev/null >
'(wget|curl) (https?|ftp|file)://[-A-Za-z0-9\+&@#/%?=~_|!:,.;]*[-A-Za-z0-9\+&@#/%=~_|]\.[-A-Za-z0-9\+&@#/%?=~_|!:,.;]*[-A-Za-z0-9\+&@#/%=~_|]$'",,info,"https://www.tecmint.com/10-most-dangerous-commands-you-should-never-execute-on-linux/
https://phoenixnap.com/kb/dangerous-linux-terminal-commands",,,,,,,
electron-version-detect,,,regex,,,,electronVersion:[^]*',,,https://www.electronjs.org/blog/chromium-rce-vulnerability/,CWE-200,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,0.0,,,"electron,file"
node-integration-enabled,"|
    Electron Applications is susceptible to remote code execution by way of cross-site scripting via nodeIntegration  by calling require('child_process').exec('COMMAND');.",word,,,,,nodeIntegration: true,,critical,"https://blog.yeswehack.com/yeswerhackers/exploitation/pentesting-electron-applications/
https://book.hacktricks.xyz/pentesting/pentesting-web/xss-to-rce-electron-desktop-apps",,,,,,,"electron,file,nodejs"
